Epoch,Train Loss,Eval Loss,mAP
0,259.25268268585205,5866.0126953125,0.013502835296094418
1,196.0138750076294,5885.45263671875,0.018955189734697342
2,178.38815593719482,5834.8349609375,0.025242378935217857
3,170.5456418991089,5830.49365234375,0.026720883324742317
4,165.6560573577881,5834.93212890625,0.027186555787920952
5,161.46844577789307,5892.7724609375,0.02554192580282688
6,155.64251804351807,5835.39892578125,0.0274246484041214
7,152.3648681640625,5875.22119140625,0.027385786175727844
8,148.42081260681152,5851.56396484375,0.027113616466522217
9,144.68158102035522,5841.52734375,0.027712808921933174
10,201.43564414978027,5780.70361328125,0.023972216993570328
11,164.80942058563232,5710.6669921875,0.026012936607003212
12,190.8244824409485,5761.36181640625,0.025905480608344078
13,160.25566482543945,5707.42431640625,0.023758066818118095
14,152.98290634155273,5736.32861328125,0.026355445384979248
