Epoch,Train Loss,Eval Loss,mAP
0,292.9169626235962,5815.58740234375,0.003702513175085187
1,244.18679904937744,5785.40185546875,0.006239124108105898
2,240.4184169769287,5821.08056640625,0.005513927899301052
3,231.53156185150146,5819.2822265625,0.007142390124499798
4,224.7410249710083,5834.5029296875,0.007389269769191742
5,219.23696994781494,5793.8896484375,0.007581405807286501
6,214.32184314727783,5766.189453125,0.00788158643990755
7,210.1728048324585,5765.7578125,0.009035784751176834
8,204.0387454032898,5816.8935546875,0.010130980052053928
9,200.35186767578125,5773.09130859375,0.010491746477782726
10,199.18417644500732,5786.61474609375,0.010770585387945175
11,194.9077033996582,5807.8828125,0.011655372567474842
12,190.66610145568848,5785.02880859375,0.013522528111934662
13,188.16332006454468,5818.607421875,0.012846129015088081
14,186.29281425476074,5814.73388671875,0.01263860147446394
