Epoch,ClassID,Precision,Recall,F1,mAP_class,TP,FP,FN
0,0,0.5588235293295848,0.24516129030676378,0.34080717061835153,0.1013781949877739,38,30,117
0,1,0.7499999981250001,0.13636363630165288,0.23076922798816565,0.10099010169506073,3,1,19
0,2,0.7499999981250001,0.02941176470299885,0.05660377284798862,0.022772276774048805,3,1,99
0,3,0.999999995,0.048780487792980366,0.09302325488372094,0.03465346619486809,2,0,39
0,5,0.9999999900000002,0.06666666662222222,0.12499999867187499,0.02138613909482956,1,0,14
0,8,0.3999999992,0.07407407404663922,0.12499999728515629,0.0,2,3,25
0,15,0.6666666659259258,0.061224489789670974,0.11214953114857194,0.0,6,3,92
0,16,0.7777777769135802,0.08333333332341271,0.1505376326280495,0.0,7,2,77
0,39,0,0.0,0,0.0,0,0,103
0,41,0.9230769223668639,0.09999999999166667,0.18045112602860539,0.0,12,1,108
0,56,0.571428570612245,0.03199999999744,0.06060605959251609,0.0,4,3,121
0,60,0.7499999981250001,0.035294117642906575,0.06741572946345159,0.0,3,1,82
1,0,0.6721311474307982,0.2645161290151925,0.3796296255414095,0.129172220826149,41,20,114
1,1,0.9999999966666667,0.13636363630165288,0.239999997696,0.10990098863840103,3,0,19
1,2,0.999999995,0.019607843135332564,0.03846153807692308,0.009900989942252636,2,0,100
1,3,0.9999999966666667,0.07317073168947055,0.13636363503099172,0.06633663177490234,3,0,38
1,5,0,0.0,0,0.056690242141485214,0,0,15
1,8,0.7142857132653061,0.18518518511659807,0.29411764361591697,0.022442243993282318,5,2,22
1,15,0.8181818174380164,0.09183673468450645,0.16513761283393655,0.0,9,2,89
1,16,0.7692307686390532,0.11904761903344672,0.20618556464661497,0.0,10,3,74
1,39,0.8333333319444445,0.048543689315675376,0.09174311820890498,0.0,5,1,98
1,41,0.9999999992307692,0.10833333332430556,0.19548872001130646,0.0,13,0,107
1,56,0.5833333328472222,0.05599999999552,0.10218977940859932,0.0,7,5,118
1,60,0.6666666655555555,0.047058823523875436,0.0879120866610313,0.0,4,2,81
2,0,0.6909090907834711,0.24516129030676378,0.3619047580040816,0.11001304537057877,38,17,117
2,1,0.9999999966666667,0.13636363630165288,0.239999997696,0.12673267722129822,3,0,19
2,2,0.999999995,0.019607843135332564,0.03846153807692308,0.014851485379040241,2,0,100
2,3,0.9999999975,0.09756097558596073,0.17777777607901235,0.07400990277528763,4,0,37
2,5,0.9999999966666667,0.19999999986666667,0.3333333301851852,0.0736633688211441,3,0,12
2,8,0.7999999984,0.14814814809327845,0.24999999720703123,0.02138613909482956,4,1,23
2,15,0.9230769223668639,0.12244897957934195,0.21621621410924446,0.0,12,1,86
2,16,0.749999999375,0.10714285713010205,0.18749999777343754,0.0,9,3,75
2,39,0.7999999984,0.038834951452540296,0.07407407317729767,0.0,4,1,99
