Epoch,ClassID,Precision,Recall,F1,mAP_class,TP,FP,FN
0,0,0.8045112781652439,0.32326283987427096,0.4612068924522518,0.15511316061019897,214,52,448
0,1,0.9999999900000002,0.16666666638888888,0.2857142824489796,0.11782178282737732,1,0,5
0,2,0.9999999975,0.26666666648888887,0.4210526278116344,0.15313531458377838,4,0,11
0,3,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.2693069279193878,1,0,2
0,5,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.0,1,0,0
0,8,0,0.0,0,0.0269930399954319,0,0,1
0,15,0.7894736837950138,0.1401869158747489,0.23809523549634673,0.0,15,4,92
0,16,0.8888888879012344,0.14285714283163264,0.24615384369230775,0.0,8,1,48
0,39,0.8749999997265625,0.06619385342633112,0.12307692176384497,0.0,28,4,395
0,41,0.8333333331349206,0.08728179550904534,0.158013542294534,0.0,35,7,366
0,56,0.7162162161194303,0.11830357142593072,0.20306513165851942,0.0,53,21,395
0,60,0.49999999949999996,0.014245014244608403,0.027700830484726182,0.0,5,5,346
1,0,0.7705479451790908,0.33987915407341573,0.47169810894976033,0.17091214656829834,225,67,437
1,1,0.9999999966666667,0.49999999916666665,0.6666666607407408,0.29735973477363586,3,0,3
1,2,0.7999999984,0.26666666648888887,0.39999999585,0.1693069338798523,4,1,11
1,3,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.2693069279193878,1,0,2
1,5,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.0,1,0,0
1,8,0,0.0,0,0.04508589580655098,0,0,1
1,15,0.7142857140816327,0.23364485979124816,0.35211267229220394,0.0,25,10,82
1,16,0.7999999992,0.14285714283163264,0.24242423977961433,0.0,8,2,48
1,39,0.8035714284279336,0.1063829787208893,0.18789143842835415,0.0,45,11,378
1,41,0.8269230767640532,0.10723192019682713,0.1898454725730353,0.0,43,9,358
1,56,0.6486486485902119,0.16071428571069835,0.257602859062023,0.0,72,39,376
1,60,0.4444444441975308,0.022792022791373445,0.04336043267396686,0.0,8,10,343
2,0,0.7817589576292586,0.36253776434497675,0.49535603281256635,0.18539614975452423,240,67,422
2,1,0.9999999966666667,0.49999999916666665,0.6666666607407408,0.29174917936325073,3,0,3
2,2,0.571428570612245,0.26666666648888887,0.36363635896694213,0.15544554591178894,4,3,11
2,3,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.302970290184021,1,0,2
2,5,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.0,1,0,0
2,8,0,0.0,0,0.04829217121005058,0,0,1
2,15,0.8292682924806662,0.3177570093160975,0.4594594553917094,0.0,34,7,73
2,16,0.7333333328444444,0.1964285713934949,0.3098591515096211,0.0,11,4,45
2,39,0.8666666665222222,0.12293144207747207,0.21532090878832694,0.0,52,8,371
2,41,0.7971014491598405,0.13715710722849983,0.23404255067641472,0.0,55,14,346
2,56,0.6830985915011902,0.21651785713802416,0.328813555655846,0.0,97,45,351
2,60,0.49999999975,0.028490028489216807,0.05390835477219725,0.0,10,10,341
3,0,0.7564102563860124,0.3564954682725605,0.484599584958068,0.18413062393665314,236,76,426
3,1,0.9999999966666667,0.49999999916666665,0.6666666607407408,0.3113861382007599,3,0,3
3,2,0.7999999984,0.26666666648888887,0.39999999585,0.17148515582084656,4,1,11
3,3,0.999999995,0.6666666644444444,0.799999992,0.5306930541992188,2,0,1
3,5,0.9999999900000002,0.9999999900000002,0.9999999850000002,0.0,1,0,0
3,8,0,0.0,0,0.059328142553567886,0,0,1
3,15,0.8571428568367346,0.22429906539959824,0.35555555221508917,0.0,24,4,83
3,16,0.8571428565306122,0.21428571424744897,0.34285713955918373,0.0,12,2,44
3,39,0.8857142855877552,0.14657210401544746,0.25152129572769283,0.0,62,8,361
3,41,0.8593749998657227,0.13715710722849983,0.2365591374009481,0.0,55,9,346
3,56,0.6917808218704259,0.22544642856639627,0.34006733634833175,0.0,101,45,347
3,60,0.6333333331222222,0.054131054129511934,0.09973753135236049,0.0,19,11,332
4,0,0,0.0,0,0.0,0,0,1
4,1,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.2693069279193878,1,0,2
5,0,0,0.0,0,0.0,0,0,1
5,1,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.2693069279193878,1,0,2
6,0,0,0.0,0,0.0,0,0,1
6,1,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.2693069279193878,1,0,2
7,0,0,0.0,0,0.0,0,0,1
7,1,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.2693069279193878,1,0,2
8,0,0,0.0,0,0.0,0,0,1
8,1,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.2693069279193878,1,0,2
9,0,0,0.0,0,0.0,0,0,1
9,1,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.2693069279193878,1,0,2
10,0,0,0.0,0,0.0,0,0,1
10,1,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.2693069279193878,1,0,2
11,0,0,0.0,0,0.0,0,0,1
11,1,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.2693069279193878,1,0,2
12,0,0,0.0,0,0.0,0,0,1
12,1,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.2693069279193878,1,0,2
13,0,0,0.0,0,0.0,0,0,1
13,1,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.2693069279193878,1,0,2
14,0,0,0.0,0,0.0,0,0,1
14,1,0.9999999900000002,0.3333333322222222,0.49999999375000004,0.2693069279193878,1,0,2
