Epoch,ClassID,Precision,Recall,F1,mAP_class,TP,FP,FN
0,0,0.8775510202290712,0.21078431371515763,0.3399209454664188,0.10919059067964554,43,6,161
0,1,0,0.0,0,0.0,0,0,13
0,2,0.9999999900000002,0.05882352937716263,0.11111110993827158,0.04752475395798683,1,0,16
0,3,0,0.0,0,0.0,0,0,11
0,5,0.9999999966666667,0.37499999953124996,0.5454545404958677,0.0,3,0,5
0,8,0,0.0,0,0.0,0,0,1
0,15,0.999999995,0.14285714275510203,0.24999999750000002,0.0,2,0,12
0,16,0,0.0,0,0.0,0,0,14
0,39,0,0.0,0,0.0,0,0,93
0,41,0.9999999900000002,0.017241379307372177,0.03389830474001724,0.0,1,0,57
0,56,0.9999999985714286,0.12962962960562413,0.22950819461435099,0.0,7,0,47
0,60,0,0.0,0,0.0,0,0,34
1,0,0.9310344825980975,0.2647058823399654,0.41221373697919705,0.13331127166748047,54,4,150
1,1,0.0,0.0,0,0.0,0,1,13
1,2,0.9999999900000002,0.05882352937716263,0.11111110993827158,0.0534653477370739,1,0,16
1,3,0,0.0,0,0.0,0,0,11
1,5,0.9999999966666667,0.37499999953124996,0.5454545404958677,0.0,3,0,5
1,8,0,0.0,0,0.007920792326331139,0,0,1
1,15,0.9999999900000002,0.07142857137755101,0.13333333191111113,0.0,1,0,13
1,16,0,0.0,0,0.0,0,0,14
1,39,0.9999999900000002,0.010752688170886808,0.02127659552965143,0.0,1,0,92
1,41,0.9999999900000002,0.017241379307372177,0.03389830474001724,0.0,1,0,57
1,56,0.9999999980000001,0.09259259257544582,0.1694915238149957,0.0,5,0,49
1,60,0,0.0,0,0.0,0,0,34
2,0,0.9310344825980975,0.2647058823399654,0.41221373697919705,0.14269404113292694,54,4,150
2,1,0.0,0.0,0,0.0,0,1,13
2,2,0.9999999900000002,0.05882352937716263,0.11111110993827158,0.0534653477370739,1,0,16
2,3,0,0.0,0,0.0,0,0,11
2,5,0.9999999966666667,0.37499999953124996,0.5454545404958677,0.0,3,0,5
2,8,0,0.0,0,0.003960396163165569,0,0,1
2,15,0.999999995,0.14285714275510203,0.24999999750000002,0.0,2,0,12
2,16,0,0.0,0,0.0,0,0,14
2,39,0.9999999900000002,0.010752688170886808,0.02127659552965143,0.0,1,0,92
2,41,0.9999999900000002,0.017241379307372177,0.03389830474001724,0.0,1,0,57
2,56,0.9999999983333333,0.11111111109053498,0.19999999813333336,0.0,6,0,48
2,60,0,0.0,0,0.0,0,0,34
3,0,0.9253731341902429,0.3039215686125529,0.45756457188981636,0.16238261759281158,62,5,142
3,1,0.4999999975,0.07692307686390532,0.13333333084444446,0.023762376978993416,1,1,12
3,2,0.9999999900000002,0.05882352937716263,0.11111110993827158,0.0534653477370739,1,0,16
3,3,0,0.0,0,0.0,0,0,11
3,5,0.9999999975,0.49999999937499995,0.6666666611111112,0.0,4,0,4
3,8,0,0.0,0,0.003960396163165569,0,0,1
3,15,0.999999995,0.14285714275510203,0.24999999750000002,0.0,2,0,12
3,16,0,0.0,0,0.0,0,0,14
3,39,0.9999999900000002,0.010752688170886808,0.02127659552965143,0.0,1,0,92
3,41,0.9999999900000002,0.017241379307372177,0.03389830474001724,0.0,1,0,57
3,56,0.9999999987499999,0.1481481481207133,0.25806451379812695,0.0,8,0,46
3,60,0,0.0,0,0.0,0,0,34
4,0,0.9718309857786155,0.3382352941010669,0.5018181779512066,0.17952832579612732,69,2,135
4,1,0.3333333322222222,0.07692307686390532,0.12499999679687505,0.04752475395798683,1,2,12
4,2,0.9999999900000002,0.05882352937716263,0.11111110993827158,0.0534653477370739,1,0,16
4,3,0,0.0,0,0.0,0,0,11
4,5,0.9999999975,0.49999999937499995,0.6666666611111112,0.0,4,0,4
4,8,0,0.0,0,0.013201320543885231,0,0,1
4,15,0.9999999966666667,0.21428571413265304,0.3529411731487889,0.0,3,0,11
4,16,0.9999999900000002,0.07142857137755101,0.13333333191111113,0.0,1,0,13
4,39,0.9999999966666667,0.032258064512660424,0.06249999938151043,0.0,3,0,90
4,41,0.9999999900000002,0.017241379307372177,0.03389830474001724,0.0,1,0,57
4,56,0.9999999987499999,0.1481481481207133,0.25806451379812695,0.0,8,0,46
4,60,0,0.0,0,0.0,0,0,34
5,0,0.8947368419875347,0.33333333331699344,0.48571428172448994,0.19390924274921417,68,8,136
5,1,0.6666666644444444,0.15384615372781063,0.24999999664062497,0.10297029465436935,2,1,11
5,2,0.9999999900000002,0.05882352937716263,0.11111110993827158,0.0534653477370739,1,0,16
5,3,0.9999999900000002,0.09090909082644627,0.16666666486111115,0.07920791953802109,1,0,10
5,5,0.9999999980000001,0.6249999992187499,0.7692307633136094,0.0,5,0,3
5,8,0,0.0,0,0.006930693052709103,0,0,1
5,15,0.999999995,0.14285714275510203,0.24999999750000002,0.0,2,0,12
5,16,0.9999999900000002,0.07142857137755101,0.13333333191111113,0.0,1,0,13
5,39,0.999999995,0.021505376341773616,0.04210526273684211,0.0,2,0,91
5,41,0.9999999900000002,0.017241379307372177,0.03389830474001724,0.0,1,0,57
5,56,0.8571428559183674,0.11111111109053498,0.19672130937919916,0.0,6,1,48
5,60,0.0,0.0,0,0.0,0,1,34
6,0,0.924050632794424,0.3578431372373606,0.5159010560096892,0.1892084926366806,73,6,131
6,1,0.7499999981250001,0.23076923059171597,0.35294117245674744,0.11221121996641159,3,1,10
6,2,0.999999995,0.11764705875432525,0.21052631368421054,0.0891089141368866,2,0,15
6,3,0.9999999900000002,0.09090909082644627,0.16666666486111115,0.0891089141368866,1,0,10
6,5,0.9999999980000001,0.6249999992187499,0.7692307633136094,0.0,5,0,3
6,8,0,0.0,0,0.02013201266527176,0,0,1
6,15,0.7499999981250001,0.21428571413265304,0.33333332950617284,0.0,3,1,11
6,16,0.9999999900000002,0.07142857137755101,0.13333333191111113,0.0,1,0,13
6,39,0.9999999975,0.04301075268354723,0.08247422599638644,0.0,4,0,89
6,41,0.9999999900000002,0.017241379307372177,0.03389830474001724,0.0,1,0,57
6,56,0.7777777769135802,0.12962962960562413,0.22222221970269587,0.0,7,2,47
6,60,0.6666666644444444,0.05882352939446367,0.10810810655953251,0.0,2,1,32
7,0,0.9324324323064281,0.3382352941010669,0.49640287375549924,0.18253695964813232,69,5,135
