Epoch,Train Loss,Eval Loss,mAP
0,257.136248588562,8043.125,0.06869129091501236
1,210.5391012430191,8071.4091796875,0.08038242161273956
2,196.27833318710327,8091.25439453125,0.10218092799186707
3,189.12207210063934,8043.69580078125,0.09597566723823547
4,228.56368086073132,5318.66845703125,0.01539113000035286
5,191.09214443630643,5334.634765625,0.016769874840974808
6,184.98713175455728,5297.259765625,0.01689852401614189
7,177.40583758884006,5321.5693359375,0.018002307042479515
8,174.2940411037869,5291.09814453125,0.016584791243076324
9,168.68497043185764,5290.7490234375,0.01871580071747303
10,165.35329013400607,5311.833984375,0.019794082269072533
11,162.18558586968317,5354.1552734375,0.01778201013803482
12,158.75716908772787,5283.73046875,0.01750119775533676
13,157.4579832288954,5389.6142578125,0.018515389412641525
14,152.1553145514594,5330.193359375,0.018399303779006004
