Epoch,ClassID,Precision,Recall,F1,mAP_class,TP,FP,FN
0,0,0.8333333326388889,0.12820512818869165,0.2222222198617284,0.07592173665761948,10,2,68
0,1,0.6666666644444444,0.15384615372781063,0.24999999664062497,0.05544554442167282,2,1,11
0,2,0.9999999975,0.19047619038548752,0.319999997056,0.13861386477947235,4,0,17
0,3,0,0.0,0,0.0,0,0,10
0,5,0.9999999900000002,0.0999999999,0.18181817983471074,0.020792080089449883,1,0,9
0,8,0.9999999975,0.039999999996,0.07692307616863907,0.0,4,0,96
0,15,0,0.0,0,0.0,0,0,4
0,16,0,0.0,0,0.0,0,0,10
0,39,0,0.0,0,0.0,0,0,2
0,41,0,0.0,0,0.0,0,0,1
0,56,0,0.0,0,0.0,0,0,8
0,60,0,0.0,0,0.0,0,0,3
1,0,0.74999999953125,0.15384615382643,0.2553191460570394,0.08897608518600464,12,4,66
1,1,0.6666666644444444,0.15384615372781063,0.24999999664062497,0.05148514732718468,2,1,11
1,2,0.9999999975,0.19047619038548752,0.319999997056,0.13283827900886536,4,0,17
1,3,0.9999999900000002,0.0999999999,0.18181817983471074,0.010891089215874672,1,0,9
1,5,0.9999999900000002,0.0999999999,0.18181817983471074,0.026287129148840904,1,0,9
1,8,0.9999999980000001,0.049999999995,0.0952380943129252,0.0,5,0,95
1,15,0,0.0,0,0.0,0,0,4
1,16,0,0.0,0,0.0,0,0,10
1,39,0,0.0,0,0.0,0,0,2
1,41,0,0.0,0,0.0,0,0,1
1,56,0,0.0,0,0.0,0,0,8
1,60,0,0.0,0,0.0,0,0,3
2,0,0.999999999090909,0.14102564100756082,0.24719100901401345,0.08368536829948425,11,0,67
2,1,0.7999999984,0.30769230745562126,0.4444444399382716,0.08250825107097626,4,1,9
2,2,0.9999999966666667,0.14285714278911565,0.24999999760416672,0.10148514807224274,3,0,18
2,3,0.9999999900000002,0.0999999999,0.18181817983471074,0.07623762637376785,1,0,9
2,5,0.9999999900000002,0.0999999999,0.18181817983471074,0.015841584652662277,1,0,9
2,8,0.6666666644444444,0.019999999998,0.03883495088321237,0.0,2,1,98
2,15,0,0.0,0,0.0,0,0,4
2,16,0.9999999900000002,0.0999999999,0.18181817983471074,0.0,1,0,9
2,39,0,0.0,0,0.0,0,0,2
2,41,0,0.0,0,0.0,0,0,1
2,56,0,0.0,0,0.0,0,0,8
2,60,0,0.0,0,0.0,0,0,3
3,0,0.9333333327111111,0.1794871794641683,0.30107526604694185,0.09890253096818924,14,1,64
3,1,0.7499999981250001,0.23076923059171597,0.35294117245674744,0.09108910709619522,3,1,10
3,2,0.9999999975,0.19047619038548752,0.319999997056,0.13613861799240112,4,0,17
3,3,0,0.0,0,0.0,0,0,10
3,5,0.9999999900000002,0.0999999999,0.18181817983471074,0.020792080089449883,1,0,9
3,8,0.7999999984,0.039999999996,0.07619047526893424,0.0,4,1,96
